Diplomas and Completion,,,,,,,,,,,,,
3/20/24,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Level,Division,Subgroup,Cohort,Dropout Count,Dropout Rate,Advanced Diplomas,Standard Count,Other Diplomas Count,GED ISAEP,Standard and Other Diplomas Count,GED Other Non-Graduation Count,Other Non-Graduation Count
2022,DIV,Accomack County Public Schools,All Students,376,21,5.6,139,187,4,2,23,25,191
2022,DIV,Accomack County Public Schools,American Indian,<,0,0,<,<,<,<,<,<,<
2022,DIV,Accomack County Public Schools,Asian,<,0,0,<,<,<,<,<,<,<
2022,DIV,Accomack County Public Schools,Black,117,8,6.8,23,79,2,0,5,5,81
2022,DIV,Accomack County Public Schools,Economically Disadvantaged,211,10,4.7,69,116,3,1,12,13,119
2022,DIV,Accomack County Public Schools,English Learners,46,7,15.2,7,22,2,0,8,8,24
2022,DIV,Accomack County Public Schools,Female,172,8,4.7,81,75,2,1,5,6,77
2022,DIV,Accomack County Public Schools,Hispanic,110,8,7.3,49,43,0,0,10,10,43
2022,DIV,Accomack County Public Schools,Homeless,<,<,<,<,<,<,<,<,<,<
2022,DIV,Accomack County Public Schools,Male,204,13,6.4,58,112,2,1,18,19,114
2022,DIV,Accomack County Public Schools,Migrant,<,0,0,<,<,<,<,<,<,<
2022,DIV,Accomack County Public Schools,Military Connected,<,0,0,<,<,<,<,<,<,<
2022,DIV,Accomack County Public Schools,Multiple Races,<,0,0,<,<,<,<,<,<,<
2022,DIV,Accomack County Public Schools,Students with Disabilities,43,5,11.6,4,27,4,2,1,3,31
2022,DIV,Accomack County Public Schools,White,138,5,3.6,62,60,2,1,8,9,62
2022,DIV,Albemarle County Public Schools,All Students,1130,47,4.2,721,323,18,9,12,21,341
2022,DIV,Albemarle County Public Schools,American Indian,<,0,0,<,<,<,<,<,<,<
2022,DIV,Albemarle County Public Schools,Asian,65,0,0,49,14,1,0,1,1,15
2022,DIV,Albemarle County Public Schools,Black,130,6,4.6,54,62,4,1,3,4,66
2022,DIV,Albemarle County Public Schools,Economically Disadvantaged,299,24,8,108,154,7,3,3,6,161
2022,DIV,Albemarle County Public Schools,English Learners,86,20,23.3,18,44,3,0,0,1,47
2022,DIV,Albemarle County Public Schools,Female,553,19,3.4,390,130,7,2,5,7,137
2022,DIV,Albemarle County Public Schools,Foster Care,<,0,0,<,<,<,<,<,<,<
2022,DIV,Albemarle County Public Schools,Hispanic,152,24,15.8,55,71,2,0,0,0,73
2022,DIV,Albemarle County Public Schools,Homeless,<,<,<,<,<,<,<,<,<,<
2022,DIV,Albemarle County Public Schools,Male,577,28,4.9,331,193,11,7,7,14,204
2022,DIV,Albemarle County Public Schools,Military Connected,19,0,0,16,3,0,0,0,0,3
2022,DIV,Albemarle County Public Schools,Multiple Races,71,1,1.4,44,23,2,1,0,1,25
2022,DIV,Albemarle County Public Schools,Students with Disabilities,132,6,4.5,28,72,18,5,0,8,90
2022,DIV,Albemarle County Public Schools,White,709,16,2.3,518,152,8,7,8,15,160
2022,DIV,Alexandria City Public Schools,All Students,1138,146,12.8,417,500,29,13,33,46,529
2022,DIV,Alexandria City Public Schools,Asian,39,0,0,19,18,1,1,0,1,19
2022,DIV,Alexandria City Public Schools,Black,300,17,5.7,94,159,12,5,13,18,171
2022,DIV,Alexandria City Public Schools,Economically Disadvantaged,641,110,17.2,156,332,13,8,22,30,345
2022,DIV,Alexandria City Public Schools,English Learners,342,100,29.2,38,189,11,1,3,4,200
2022,DIV,Alexandria City Public Schools,Female,549,50,9.1,242,230,10,4,13,17,240
2022,DIV,Alexandria City Public Schools,Foster Care,<,0,0,<,<,<,<,<,<,<
2022,DIV,Alexandria City Public Schools,Hispanic,500,123,24.6,93,249,11,6,18,24,260
2022,DIV,Alexandria City Public Schools,Homeless,14,4,28.6,0,8,0,1,1,2,8
2022,DIV,Alexandria City Public Schools,Male,589,96,16.3,175,270,19,9,20,29,289
2022,DIV,Alexandria City Public Schools,Military Connected,<,<,<,<,<,<,<,<,<,<
2022,DIV,Alexandria City Public Schools,Multiple Races,24,1,4.2,12,11,0,0,0,0,11
2022,DIV,Alexandria City Public Schools,Native Hawaiian,<,0,0,<,<,<,<,<,<,<
2022,DIV,Alexandria City Public Schools,Students with Disabilities,114,21,18.4,11,52,29,1,0,1,81
2022,DIV,Alexandria City Public Schools,White,270,5,1.9,196,61,5,1,2,3,66
2022,DIV,Alleghany Highlands Public Schools,All Students,224,5,2.2,72,114,14,6,13,19,128
2022,DIV,Alleghany Highlands Public Schools,Asian,<,0,0,<,<,<,<,<,<,<
2022,DIV,Alleghany Highlands Public Schools,Black,14,2,14.3,4,6,1,0,1,1,7
2022,DIV,Alleghany Highlands Public Schools,Economically Disadvantaged,100,4,4,9,63,9,6,9,15,72
2022,DIV,Alleghany Highlands Public Schools,English Learners,<,0,0,<,<,<,<,<,<,<
2022,DIV,Alleghany Highlands Public Schools,Female,107,1,0.9,44,47,7,1,7,8,54
2022,DIV,Alleghany Highlands Public Schools,Foster Care,<,0,0,<,<,<,<,<,<,<
2022,DIV,Alleghany Highlands Public Schools,Hispanic,11,0,0,5,6,0,0,0,0,6
2022,DIV,Alleghany Highlands Public Schools,Male,117,4,3.4,28,67,7,5,6,11,74
2022,DIV,Alleghany Highlands Public Schools,Multiple Races,12,0,0,3,7,0,0,2,2,7
2022,DIV,Alleghany Highlands Public Schools,Students with Disabilities,37,2,5.4,0,18,14,1,2,3,32
2022,DIV,Alleghany Highlands Public Schools,White,185,3,1.6,58,95,13,6,10,16,108
2022,DIV,Amelia County Public Schools,All Students,126,6,4.8,53,59,3,0,5,5,62
2022,DIV,Amelia County Public Schools,Black,29,1,3.4,7,18,2,0,1,1,20
2022,DIV,Amelia County Public Schools,Economically Disadvantaged,69,5,7.2,19,38,3,0,4,4,41
2022,DIV,Amelia County Public Schools,English Learners,<,0,0,<,<,<,<,<,<,<
2022,DIV,Amelia County Public Schools,Female,68,2,2.9,30,33,1,0,2,2,34
2022,DIV,Amelia County Public Schools,Foster Care,<,0,0,<,<,<,<,<,<,<
2022,DIV,Amelia County Public Schools,Hispanic,<,<,<,<,<,<,<,<,<,<
2022,DIV,Amelia County Public Schools,Male,58,4,6.9,23,26,2,0,3,3,28
2022,DIV,Amelia County Public Schools,Military Connected,<,0,0,<,<,<,<,<,<,<
2022,DIV,Amelia County Public Schools,Multiple Races,<,0,0,<,<,<,<,<,<,<
2022,DIV,Amelia County Public Schools,Students with Disabilities,15,3,20,0,9,3,0,0,0,12
2022,DIV,Amelia County Public Schools,White,82,4,4.9,40,33,1,0,4,4,34
2022,DIV,Amherst County Public Schools,All Students,299,7,2.3,134,151,2,2,3,5,153
2022,DIV,Amherst County Public Schools,American Indian,<,0,0,<,<,<,<,<,<,<
2022,DIV,Amherst County Public Schools,Asian,<,0,0,<,<,<,<,<,<,<
