Diplomas and Completion,,,,,,,,,,,,,
3/28/24,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Level,Division,Subgroup,Cohort,Dropout Count,Dropout Rate,Advanced Diplomas,Standard Count,Other Diplomas Count,GED ISAEP,Standard and Other Diplomas Count,GED Other Non-Graduation Count,Other Non-Graduation Count
2020,DIV,Accomack County Public Schools,All Students,361,28,7.8,154,157,10,0,12,12,167
2020,DIV,Accomack County Public Schools,American Indian,<,0,0,<,<,<,<,<,<,<
2020,DIV,Accomack County Public Schools,Asian,<,0,0,<,<,<,<,<,<,<
2020,DIV,Accomack County Public Schools,Black,128,9,7,31,73,6,0,9,9,79
2020,DIV,Accomack County Public Schools,Economically Disadvantaged,124,12,9.7,34,66,6,0,6,6,72
2020,DIV,Accomack County Public Schools,English Learners,30,8,26.7,4,17,1,0,0,0,18
2020,DIV,Accomack County Public Schools,Female,156,6,3.8,74,67,4,0,5,5,71
2020,DIV,Accomack County Public Schools,Hispanic,63,13,20.6,27,23,0,0,0,0,23
2020,DIV,Accomack County Public Schools,Homeless,11,0,0,2,6,2,0,1,1,8
2020,DIV,Accomack County Public Schools,Male,205,22,10.7,80,90,6,0,7,7,96
2020,DIV,Accomack County Public Schools,Military Connected,<,0,0,<,<,<,<,<,<,<
2020,DIV,Accomack County Public Schools,Multiple Races,<,0,0,<,<,<,<,<,<,<
2020,DIV,Accomack County Public Schools,Students with Disabilities,46,5,10.9,5,24,10,0,2,2,34
2020,DIV,Accomack County Public Schools,White,164,6,3.7,92,59,4,0,3,3,63
2020,DIV,Albemarle County Public Schools,All Students,1084,32,3,698,329,18,1,6,7,347
2020,DIV,Albemarle County Public Schools,Asian,68,0,0,59,9,0,0,0,0,9
2020,DIV,Albemarle County Public Schools,Black,122,4,3.3,47,65,5,0,1,1,70
2020,DIV,Albemarle County Public Schools,Economically Disadvantaged,309,21,6.8,110,160,13,1,4,5,173
2020,DIV,Albemarle County Public Schools,English Learners,65,10,15.4,11,43,1,0,0,0,44
2020,DIV,Albemarle County Public Schools,Female,555,12,2.2,389,145,6,0,3,3,151
2020,DIV,Albemarle County Public Schools,Foster Care,<,<,<,<,<,<,<,<,<,<
2020,DIV,Albemarle County Public Schools,Hispanic,132,14,10.6,48,67,2,0,1,1,69
2020,DIV,Albemarle County Public Schools,Homeless,10,3,30,2,5,0,0,0,0,5
2020,DIV,Albemarle County Public Schools,Male,529,20,3.8,309,184,12,1,3,4,196
2020,DIV,Albemarle County Public Schools,Migrant,<,0,0,<,<,<,<,<,<,<
2020,DIV,Albemarle County Public Schools,Military Connected,17,0,0,14,3,0,0,0,0,3
2020,DIV,Albemarle County Public Schools,Multiple Races,58,1,1.7,34,21,0,1,1,2,21
2020,DIV,Albemarle County Public Schools,Students with Disabilities,157,7,4.5,23,109,18,0,0,0,127
2020,DIV,Albemarle County Public Schools,White,704,13,1.8,510,167,11,0,3,3,178
2020,DIV,Alexandria City Public Schools,All Students,981,52,5.3,372,486,33,11,27,38,519
2020,DIV,Alexandria City Public Schools,American Indian,<,<,<,<,<,<,<,<,<,<
2020,DIV,Alexandria City Public Schools,Asian,38,0,0,16,18,3,0,1,1,21
2020,DIV,Alexandria City Public Schools,Black,288,7,2.4,71,179,17,1,13,14,196
2020,DIV,Alexandria City Public Schools,Economically Disadvantaged,646,44,6.8,145,399,26,10,22,32,425
2020,DIV,Alexandria City Public Schools,English Learners,223,21,9.4,21,172,7,2,0,2,179
2020,DIV,Alexandria City Public Schools,Female,502,16,3.2,226,234,13,6,7,13,247
2020,DIV,Alexandria City Public Schools,Foster Care,<,0,0,<,<,<,<,<,<,<
2020,DIV,Alexandria City Public Schools,Hispanic,374,41,11,89,213,11,9,11,20,224
2020,DIV,Alexandria City Public Schools,Homeless,<,<,<,<,<,<,<,<,<,<
2020,DIV,Alexandria City Public Schools,Male,479,36,7.5,146,252,20,5,20,25,272
2020,DIV,Alexandria City Public Schools,Military Connected,18,0,0,13,5,0,0,0,0,5
2020,DIV,Alexandria City Public Schools,Multiple Races,25,0,0,15,9,1,0,0,0,10
2020,DIV,Alexandria City Public Schools,Native Hawaiian,<,0,0,<,<,<,<,<,<,<
2020,DIV,Alexandria City Public Schools,Students with Disabilities,111,6,5.4,3,69,33,0,0,0,102
2020,DIV,Alexandria City Public Schools,White,252,2,0.8,180,66,1,1,2,3,67
2020,DIV,Alleghany Highlands Public Schools,All Students,168,7,4.2,59,83,10,5,4,9,93
2020,DIV,Alleghany Highlands Public Schools,American Indian,<,0,0,<,<,<,<,<,<,<
2020,DIV,Alleghany Highlands Public Schools,Asian,<,0,0,<,<,<,<,<,<,<
