division,cohort_All Students,cohort_Asian,cohort_Black,cohort_Hispanic,cohort_Multiple Races,cohort_White,advanced_diplomas_All Students,advanced_diplomas_Asian,advanced_diplomas_Black,advanced_diplomas_Hispanic,advanced_diplomas_Multiple Races,advanced_diplomas_White,percent_advanced_All Students,percent_advanced_Asian,percent_advanced_Black,percent_advanced_Hispanic,percent_advanced_Multiple Races,percent_advanced_White
Accomack County Public Schools,376,NA,117,110,NA,138,139,NA,23,49,NA,62,36.96808510638298,NA,19.65811965811966,44.54545454545455,NA,44.927536231884055
Albemarle County Public Schools,1130,65,130,152,71,709,721,49,54,55,44,518,63.80530973451327,75.38461538461539,41.53846153846154,36.18421052631579,61.97183098591549,73.06064880112835
Alexandria City Public Schools,1138,39,300,500,24,270,417,19,94,93,12,196,36.64323374340949,48.717948717948715,31.333333333333336,18.6,50,72.5925925925926
Alleghany Highlands Public Schools,224,NA,14,11,12,185,72,NA,4,5,3,58,32.142857142857146,NA,28.57142857142857,45.45454545454545,25,31.351351351351354
Amelia County Public Schools,126,NA,29,NA,NA,82,53,NA,7,NA,NA,40,42.06349206349206,NA,24.137931034482758,NA,NA,48.78048780487805
Amherst County Public Schools,299,NA,38,13,34,210,134,NA,18,7,13,93,44.81605351170568,NA,47.368421052631575,53.84615384615385,38.23529411764706,44.285714285714285
Appomattox County Public Schools,161,NA,38,NA,12,103,85,NA,15,NA,8,58,52.79503105590062,NA,39.473684210526315,NA,66.66666666666666,56.310679611650485
Arlington County Public Schools,1991,154,184,572,157,918,1292,113,80,229,126,741,64.89201406328479,73.37662337662337,43.47826086956522,40.03496503496503,80.2547770700637,80.71895424836602
Augusta County Public Schools,794,11,21,53,29,679,347,8,8,25,8,298,43.702770780856426,72.72727272727273,38.095238095238095,47.16981132075472,27.586206896551722,43.888070692194404
Bath County Public Schools,38,NA,NA,NA,NA,34,12,NA,NA,NA,NA,10,31.57894736842105,NA,NA,NA,NA,29.411764705882355
Bedford County Public Schools,710,16,63,23,34,571,252,9,13,10,6,212,35.49295774647888,56.25,20.634920634920633,43.47826086956522,17.647058823529413,37.127845884413304
Bland County Public Schools,65,NA,NA,NA,NA,65,12,NA,NA,NA,NA,12,18.461538461538463,NA,NA,NA,NA,18.461538461538463
Botetourt County Public Schools,380,NA,10,17,12,337,189,NA,1,6,3,175,49.73684210526316,NA,10,35.294117647058826,25,51.92878338278932
Bristol City Public Schools,167,NA,16,NA,NA,132,46,NA,2,NA,NA,40,27.54491017964072,NA,12.5,NA,NA,30.303030303030305
Brunswick County Public Schools,109,NA,77,NA,NA,25,38,NA,29,NA,NA,7,34.862385321100916,NA,37.66233766233766,NA,NA,28.000000000000004
Buchanan County Public Schools,188,NA,NA,NA,NA,185,52,NA,NA,NA,NA,52,27.659574468085108,NA,NA,NA,NA,28.10810810810811
Buckingham County Public Schools,150,NA,54,NA,11,76,43,NA,12,NA,1,28,28.666666666666668,NA,22.22222222222222,NA,9.090909090909092,36.84210526315789
Buena Vista City Public Schools,78,NA,NA,NA,NA,70,24,NA,NA,NA,NA,20,30.76923076923077,NA,NA,NA,NA,28.57142857142857
Campbell County Public Schools,554,NA,86,27,31,397,220,NA,34,7,11,159,39.71119133574007,NA,39.53488372093023,25.925925925925924,35.483870967741936,40.050377833753146
Caroline County Public Schools,323,NA,91,44,28,154,117,NA,21,15,15,62,36.22291021671827,NA,23.076923076923077,34.090909090909086,53.57142857142857,40.25974025974026
Carroll County Public Schools,284,NA,NA,23,NA,252,132,NA,NA,12,NA,116,46.478873239436616,NA,NA,52.17391304347826,NA,46.03174603174603
Charles City County Public Schools,56,NA,34,NA,NA,14,12,NA,7,NA,NA,4,21.428571428571427,NA,20.588235294117645,NA,NA,28.57142857142857
Charlotte County Public Schools,133,NA,40,NA,NA,85,49,NA,11,NA,NA,37,36.84210526315789,NA,27.500000000000004,NA,NA,43.529411764705884
Charlottesville City Public Schools,296,15,93,35,25,127,174,11,29,16,13,105,58.78378378378378,73.33333333333333,31.182795698924732,45.714285714285715,52,82.67716535433071
Chesapeake City Public Schools,3294,102,1051,369,289,1470,1831,85,481,173,174,912,55.585913782635096,83.33333333333334,45.765937202664134,46.883468834688344,60.207612456747405,62.04081632653061
Chesterfield County Public Schools,5071,176,1392,945,215,2329,2843,140,651,340,107,1597,56.063892723328735,79.54545454545455,46.76724137931034,35.978835978835974,49.76744186046512,68.57020180334908
