division,cohort_All Students,cohort_Asian,cohort_Black,cohort_Hispanic,cohort_Multiple Races,cohort_White,advanced_diplomas_All Students,advanced_diplomas_Asian,advanced_diplomas_Black,advanced_diplomas_Hispanic,advanced_diplomas_Multiple Races,advanced_diplomas_White,percent_advanced_All Students,percent_advanced_Asian,percent_advanced_Black,percent_advanced_Hispanic,percent_advanced_Multiple Races,percent_advanced_White
Albemarle County Public Schools,1130,65,130,152,71,709,721,49,54,55,44,518,63.80530973451327,75.38461538461539,41.53846153846154,36.18421052631579,61.97183098591549,73.06064880112835
Charlottesville City Public Schools,296,15,93,35,25,127,174,11,29,16,13,105,58.78378378378378,73.33333333333333,31.182795698924732,45.714285714285715,52,82.67716535433071
Chesterfield County Public Schools,5071,176,1392,945,215,2329,2843,140,651,340,107,1597,56.063892723328735,79.54545454545455,46.76724137931034,35.978835978835974,49.76744186046512,68.57020180334908
Fairfax County Public Schools,14913,3108,1498,4100,820,5342,9293,2519,790,1505,596,3860,62.31475893515724,81.04890604890605,52.7369826435247,36.70731707317073,72.6829268292683,72.25758143017596
Greene County Public Schools,222,NA,18,28,20,154,98,NA,7,17,5,67,44.14414414414414,NA,38.88888888888889,60.71428571428571,25,43.506493506493506
Henrico County Public Schools,4128,420,1443,464,191,1598,2270,343,531,161,119,1110,54.990310077519375,81.66666666666667,36.7983367983368,34.69827586206897,62.30366492146597,69.46182728410513
Loudoun County Public Schools,6688,1514,494,1247,335,3046,4974,1335,318,608,265,2416,74.372009569378,88.1770145310436,64.37246963562752,48.757016840417,79.1044776119403,79.31713722915299
Louisa County Public Schools,391,NA,59,26,20,284,194,NA,22,14,9,147,49.61636828644501,NA,37.28813559322034,53.84615384615385,45,51.76056338028169
Prince William County Public Schools,7161,687,1440,2672,362,1968,3327,465,661,789,192,1202,46.459991621281944,67.68558951965066,45.90277777777778,29.528443113772457,53.03867403314917,61.07723577235772
Richmond City Public Schools,1488,NA,880,452,14,131,543,NA,321,110,7,98,36.49193548387097,NA,36.47727272727273,24.336283185840706,50,74.80916030534351
Waynesboro City Public Schools,228,NA,33,53,24,117,82,NA,9,13,10,49,35.96491228070175,NA,27.27272727272727,24.528301886792452,41.66666666666667,41.88034188034188
