School Year,Division Number,Division Name,School Number,School Name,Disadvantaged,Full Time Count (All Grades),Part Time Count (All Grades),Total Count
2023-2024,2,Albemarle County,160,Agnor-Hurt Elementary,N,265,,265
2023-2024,2,Albemarle County,160,Agnor-Hurt Elementary,Y,209,,209
2023-2024,2,Albemarle County,880,Albemarle High,N,"1,340",<,"1,346"
2023-2024,2,Albemarle County,880,Albemarle High,Y,673,,673
2023-2024,2,Albemarle County,1053,Baker-Butler Elem,N,523,,523
2023-2024,2,Albemarle County,1053,Baker-Butler Elem,Y,212,,212
2023-2024,2,Albemarle County,100,Broadus Wood Elementary,N,233,,233
2023-2024,2,Albemarle County,100,Broadus Wood Elementary,Y,51,,51
2023-2024,2,Albemarle County,941,Brownsville Elementary,N,471,,471
2023-2024,2,Albemarle County,941,Brownsville Elementary,Y,101,,101
2023-2024,2,Albemarle County,890,Community Lab School,N,169,,169
2023-2024,2,Albemarle County,890,Community Lab School,Y,10,,10
2023-2024,2,Albemarle County,340,Crozet Elementary,N,467,,467
2023-2024,2,Albemarle County,340,Crozet Elementary,Y,78,,78
2023-2024,2,Albemarle County,10,Hollymead Elementary,N,285,,285
2023-2024,2,Albemarle County,10,Hollymead Elementary,Y,62,,62
2023-2024,2,Albemarle County,250,Ivy Elementary,N,316,,316
2023-2024,2,Albemarle County,250,Ivy Elementary,Y,36,,36
2023-2024,2,Albemarle County,69,Jackson P. Burley Middle,N,301,,301
2023-2024,2,Albemarle County,69,Jackson P. Burley Middle,Y,251,,251
2023-2024,2,Albemarle County,942,Joseph T. Henley Middle,N,692,,692
2023-2024,2,Albemarle County,942,Joseph T. Henley Middle,Y,112,,112
2023-2024,2,Albemarle County,950,Journey Middle,N,311,,311
2023-2024,2,Albemarle County,950,Journey Middle,Y,297,,297
2023-2024,2,Albemarle County,1051,Lakeside Middle,N,396,,396
2023-2024,2,Albemarle County,1051,Lakeside Middle,Y,124,,124
2023-2024,2,Albemarle County,20,Leslie H. Walton Middle,N,202,<,203
2023-2024,2,Albemarle County,20,Leslie H. Walton Middle,Y,127,,127
2023-2024,2,Albemarle County,40,Mary Carr Greer Elementary,N,227,,227
2023-2024,2,Albemarle County,40,Mary Carr Greer Elementary,Y,269,,269
2023-2024,2,Albemarle County,1052,Monticello High,N,771,<,775
2023-2024,2,Albemarle County,1052,Monticello High,Y,435,<,436
2023-2024,2,Albemarle County,150,Mountain View Elementary,N,450,,450
2023-2024,2,Albemarle County,150,Mountain View Elementary,Y,306,,306
2023-2024,2,Albemarle County,540,Red Hill Elementary,N,106,,106
2023-2024,2,Albemarle County,540,Red Hill Elementary,Y,90,,90
2023-2024,2,Albemarle County,30,Scottsville Elementary,N,114,,114
2023-2024,2,Albemarle County,30,Scottsville Elementary,Y,97,,97
2023-2024,2,Albemarle County,920,Stone Robinson Elementary,N,346,,346
2023-2024,2,Albemarle County,920,Stone Robinson Elementary,Y,142,,142
2023-2024,2,Albemarle County,240,Stony Point Elementary,N,137,,137
2023-2024,2,Albemarle County,240,Stony Point Elementary,Y,51,,51
2023-2024,2,Albemarle County,910,Virginia L. Murray Elementary,N,251,,251
2023-2024,2,Albemarle County,910,Virginia L. Murray Elementary,Y,26,,26
2023-2024,2,Albemarle County,140,Western Albemarle High,N,"1,016",<,"1,018"
2023-2024,2,Albemarle County,140,Western Albemarle High,Y,148,,148
2023-2024,2,Albemarle County,930,Woodbrook Elementary,N,236,,236
2023-2024,2,Albemarle County,930,Woodbrook Elementary,Y,289,,289
2023-2024,8,Augusta County,212,Beverley Manor Middle,N,380,,380
2023-2024,8,Augusta County,212,Beverley Manor Middle,Y,232,,232
2023-2024,8,Augusta County,660,Buffalo Gap High,N,249,,249
2023-2024,8,Augusta County,660,Buffalo Gap High,Y,167,,167
2023-2024,8,Augusta County,30,Cassell Elementary,N,344,,344
2023-2024,8,Augusta County,30,Cassell Elementary,Y,295,,295
2023-2024,8,Augusta County,140,Churchville Elementary,N,258,,258
2023-2024,8,Augusta County,140,Churchville Elementary,Y,191,,191
2023-2024,8,Augusta County,370,Craigsville Elementary,N,45,,45
2023-2024,8,Augusta County,370,Craigsville Elementary,Y,83,,83
2023-2024,8,Augusta County,842,Edward G. Clymore Elementary,N,450,,450
2023-2024,8,Augusta County,842,Edward G. Clymore Elementary,Y,326,,326
2023-2024,8,Augusta County,670,Fort Defiance High,N,417,<,418
2023-2024,8,Augusta County,670,Fort Defiance High,Y,320,,320
2023-2024,8,Augusta County,843,Guy K. Stump Elementary,N,274,,274
2023-2024,8,Augusta County,843,Guy K. Stump Elementary,Y,179,,179
2023-2024,8,Augusta County,40,North River Elementary,N,112,,112
2023-2024,8,Augusta County,40,North River Elementary,Y,125,,125
2023-2024,8,Augusta County,740,Riverheads Elementary,N,394,,394
2023-2024,8,Augusta County,740,Riverheads Elementary,Y,327,,327
2023-2024,8,Augusta County,680,Riverheads High,N,295,<,296
2023-2024,8,Augusta County,680,Riverheads High,Y,152,,152
2023-2024,8,Augusta County,90,S. Gordon Stewart Middle,N,294,,294
2023-2024,8,Augusta County,90,S. Gordon Stewart Middle,Y,222,,222
2023-2024,8,Augusta County,440,Stuarts Draft Elementary,N,333,,333
2023-2024,8,Augusta County,440,Stuarts Draft Elementary,Y,280,,280
2023-2024,8,Augusta County,730,Stuarts Draft High,N,421,<,422
2023-2024,8,Augusta County,730,Stuarts Draft High,Y,291,,291
2023-2024,8,Augusta County,60,Stuarts Draft Middle,N,306,,306
2023-2024,8,Augusta County,60,Stuarts Draft Middle,Y,198,,198
2023-2024,8,Augusta County,640,Wilson Elementary,N,348,,348
2023-2024,8,Augusta County,640,Wilson Elementary,Y,312,,312
2023-2024,8,Augusta County,720,Wilson Memorial High,N,553,<,555
