Cohort Year,Division Number,Division Name,Type of Graduation Rate,Rate Type,Graduation Rate,Students in Cohort,Total Graduates,Advanced Studies,IB,Standard,Other Diplomas,Applied Studies,GED,ISAEP,Certificate of Completion,Completion Rate,Dropout Rate,Dropouts,Still Enrolled,Long-Term Absence
2008,1,Accomack County,On-Time Graduation Rate,4 yr rate,65.58%,523,343,109,0,211,12,11,0,22,<,69.98%,27.34%,143,13,1
2008,2,Albemarle County,On-Time Graduation Rate,4 yr rate,87.94%,"1,012",890,575,0,281,<,28,12,18,<,91.60%,7.02%,71,14,0
2008,101,Alexandria City,On-Time Graduation Rate,4 yr rate,76.62%,710,544,231,0,280,21,12,1,37,0,81.97%,14.79%,105,22,1
2008,3,Alleghany County,On-Time Graduation Rate,4 yr rate,82.35%,238,196,105,0,82,<,<,3,0,<,84.87%,13.03%,31,5,0
2008,4,Amelia County,On-Time Graduation Rate,4 yr rate,81.21%,165,134,66,0,64,<,<,0,0,0,81.21%,11.52%,19,12,0
2008,5,Amherst County,On-Time Graduation Rate,4 yr rate,80.92%,435,352,136,0,175,23,18,24,3,0,87.13%,10.11%,44,11,1
2008,6,Appomattox County,On-Time Graduation Rate,4 yr rate,83.33%,180,150,90,0,52,<,0,2,5,0,87.22%,9.44%,17,5,1
2008,7,Arlington County,On-Time Graduation Rate,4 yr rate,82.52%,"1,190",982,587,51,315,27,<,1,6,12,84.12%,12.52%,149,40,0
2008,8,Augusta County,On-Time Graduation Rate,4 yr rate,84.79%,927,786,365,0,361,33,27,1,19,<,87.06%,12.41%,115,5,0
2008,9,Bath County,On-Time Graduation Rate,4 yr rate,96.15%,52,50,19,0,29,<,<,0,1,0,98.08%,1.92%,1,0,0
2008,10,Bedford County,On-Time Graduation Rate,4 yr rate,87.77%,867,761,395,0,335,<,22,32,0,<,91.93%,5.88%,51,19,0
2008,11,Bland County,On-Time Graduation Rate,4 yr rate,83.64%,55,46,8,0,35,<,<,0,2,0,87.27%,9.09%,5,2,0
2008,12,Botetourt County,On-Time Graduation Rate,4 yr rate,88.02%,409,360,138,0,207,<,11,14,16,0,95.35%,3.91%,16,0,3
2008,102,Bristol City,On-Time Graduation Rate,4 yr rate,77.44%,195,151,52,0,89,<,<,1,15,<,87.18%,11.79%,23,1,1
2008,13,Brunswick County,On-Time Graduation Rate,4 yr rate,64.21%,190,122,31,0,86,<,<,0,0,<,67.89%,24.74%,47,10,4
2008,14,Buchanan County,On-Time Graduation Rate,4 yr rate,83.45%,284,236,64,0,149,23,<,1,3,<,85.21%,10.92%,31,11,0
2008,15,Buckingham County,On-Time Graduation Rate,4 yr rate,69.16%,214,148,66,0,71,<,<,4,4,0,72.90%,22.90%,49,9,0
2008,103,Buena Vista City,On-Time Graduation Rate,4 yr rate,78.57%,98,77,37,0,32,<,<,1,9,0,88.78%,11.22%,11,0,0
2008,16,Campbell County,On-Time Graduation Rate,4 yr rate,76.97%,760,585,308,0,242,23,12,58,0,<,85.66%,11.97%,91,18,0
2008,17,Caroline County,On-Time Graduation Rate,4 yr rate,75.16%,310,233,82,0,141,<,<,8,0,0,77.74%,11.61%,36,21,12
2008,18,Carroll County,On-Time Graduation Rate,4 yr rate,81.36%,338,275,129,0,126,11,<,4,14,0,86.69%,11.24%,38,6,1
2008,19,Charles City County,On-Time Graduation Rate,4 yr rate,89.04%,73,65,21,0,35,<,<,0,1,0,90.41%,9.59%,7,0,0
2008,20,Charlotte County,On-Time Graduation Rate,4 yr rate,84.39%,205,173,90,0,66,16,<,4,9,<,92.20%,5.85%,12,4,0
2008,104,Charlottesville City,On-Time Graduation Rate,4 yr rate,74.61%,319,238,138,0,81,<,13,9,1,<,80.25%,17.87%,57,3,3
2008,136,Chesapeake City,On-Time Graduation Rate,4 yr rate,87.62%,"3,295","2,887","1,659",36,"1,043",71,78,30,46,<,90.05%,8.80%,290,34,4
2008,21,Chesterfield County,On-Time Graduation Rate,4 yr rate,84.72%,"4,797","4,064","2,286",24,"1,657",41,56,21,42,<,86.18%,11.82%,567,91,5
2008,22,Clarke County,On-Time Graduation Rate,4 yr rate,90.00%,170,153,96,0,49,<,<,1,1,0,91.18%,7.65%,13,2,0
2008,202,Colonial Beach,On-Time Graduation Rate,4 yr rate,86.21%,58,50,20,0,28,<,<,0,4,0,93.10%,6.90%,4,0,0
2008,106,Colonial Heights City,On-Time Graduation Rate,4 yr rate,72.73%,231,168,106,0,57,<,<,3,3,0,75.32%,22.51%,52,5,0
2008,107,Covington City,On-Time Graduation Rate,4 yr rate,73.63%,91,67,25,0,33,<,<,2,0,0,75.82%,18.68%,17,5,0
2008,23,Craig County,On-Time Graduation Rate,4 yr rate,78.33%,60,47,27,0,20,0,0,0,1,0,80.00%,13.33%,8,1,3
2008,24,Culpeper County,On-Time Graduation Rate,4 yr rate,81.15%,610,495,235,0,243,<,<,27,0,0,85.57%,10.00%,61,20,7
2008,25,Cumberland County,On-Time Graduation Rate,4 yr rate,82.73%,110,90,66,0,18,<,<,0,1,0,83.64%,12.73%,14,4,0
2008,108,Danville City,On-Time Graduation Rate,4 yr rate,74.25%,563,418,151,10,229,15,13,19,17,11,82.59%,12.61%,71,27,0
2008,26,Dickenson County,On-Time Graduation Rate,4 yr rate,87.67%,227,199,46,0,132,<,14,5,0,<,91.19%,7.49%,17,3,0
2008,27,Dinwiddie County,On-Time Graduation Rate,4 yr rate,68.36%,414,283,74,0,174,<,26,39,0,<,78.50%,15.22%,63,26,0
2008,28,Essex County,On-Time Graduation Rate,4 yr rate,81.75%,137,112,56,0,48,0,<,9,4,0,91.24%,5.84%,8,4,0
2008,29,Fairfax County,On-Time Graduation Rate,4 yr rate,91.19%,"12,467","11,369","7,246",311,"3,530",205,77,44,140,<,92.68%,6.08%,758,155,0
2008,109,Falls Church City,On-Time Graduation Rate,4 yr rate,97.01%,167,162,80,30,50,<,0,1,0,0,97.60%,0.00%,0,2,2
2008,30,Fauquier County,On-Time Graduation Rate,4 yr rate,86.92%,925,804,478,0,286,29,11,0,42,<,92.43%,5.51%,51,19,0
2008,31,Floyd County,On-Time Graduation Rate,4 yr rate,83.15%,178,148,84,0,58,<,<,2,6,<,88.20%,11.80%,21,0,0
2008,32,Fluvanna County,On-Time Graduation Rate,4 yr rate,90.03%,291,262,147,0,93,17,<,3,2,0,91.75%,6.53%,19,4,1
2008,135,Franklin City,On-Time Graduation Rate,4 yr rate,63.79%,116,74,32,0,38,<,0,0,7,<,70.69%,25.00%,29,3,2
2008,33,Franklin County,On-Time Graduation Rate,4 yr rate,77.30%,630,487,250,0,198,20,19,1,67,0,88.10%,10.16%,64,11,0
2008,34,Frederick County,On-Time Graduation Rate,4 yr rate,83.35%,"1,069",891,417,0,445,20,<,13,73,<,91.67%,7.11%,76,10,3
