School Year,Division Number,Division Name,School Number,School Name,English Learners,Full Time Count (All Grades),Part Time Count (All Grades),Total Count
2019-2020,2,Albemarle County,160,Agnor-Hurt Elementary,N,379,,379
2019-2020,2,Albemarle County,160,Agnor-Hurt Elementary,Y,83,,83
2019-2020,2,Albemarle County,1060,Albemarle County Community Public Charter,N,54,,54
2019-2020,2,Albemarle County,880,Albemarle High,N,"1,725",12,"1,737"
2019-2020,2,Albemarle County,880,Albemarle High,Y,168,,168
2019-2020,2,Albemarle County,1053,Baker-Butler Elem,N,612,,612
2019-2020,2,Albemarle County,1053,Baker-Butler Elem,Y,64,,64
2019-2020,2,Albemarle County,100,Broadus Wood Elementary,N,284,,284
2019-2020,2,Albemarle County,100,Broadus Wood Elementary,Y,<,,<
2019-2020,2,Albemarle County,941,Brownsville Elementary,N,853,,853
2019-2020,2,Albemarle County,941,Brownsville Elementary,Y,<,,<
2019-2020,2,Albemarle County,340,Crozet Elementary,N,331,,331
2019-2020,2,Albemarle County,340,Crozet Elementary,Y,10,,10
2019-2020,2,Albemarle County,10,Hollymead Elementary,N,389,,389
2019-2020,2,Albemarle County,10,Hollymead Elementary,Y,33,,33
2019-2020,2,Albemarle County,950,Jack Jouett Middle,N,484,<,485
2019-2020,2,Albemarle County,950,Jack Jouett Middle,Y,96,,96
2019-2020,2,Albemarle County,69,Jackson P. Burley Middle,N,494,<,496
2019-2020,2,Albemarle County,69,Jackson P. Burley Middle,Y,26,,26
2019-2020,2,Albemarle County,942,Joseph T. Henley Middle,N,893,<,895
2019-2020,2,Albemarle County,942,Joseph T. Henley Middle,Y,<,,<
2019-2020,2,Albemarle County,20,Leslie H. Walton Middle,N,329,<,331
2019-2020,2,Albemarle County,20,Leslie H. Walton Middle,Y,<,,<
2019-2020,2,Albemarle County,40,Mary Carr Greer Elementary,N,346,,346
2019-2020,2,Albemarle County,40,Mary Carr Greer Elementary,Y,156,,156
2019-2020,2,Albemarle County,250,Meriwether Lewis Elementary,N,398,,398
2019-2020,2,Albemarle County,250,Meriwether Lewis Elementary,Y,<,,<
2019-2020,2,Albemarle County,1052,Monticello High,N,"1,121",10,"1,131"
2019-2020,2,Albemarle County,1052,Monticello High,Y,68,,68
2019-2020,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,N,549,<,551
2019-2020,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,Y,16,,16
2019-2020,2,Albemarle County,890,Murray High,N,85,,85
2019-2020,2,Albemarle County,150,Paul H. Cale Elementary,N,614,,614
2019-2020,2,Albemarle County,150,Paul H. Cale Elementary,Y,130,,130
2019-2020,2,Albemarle County,540,Red Hill Elementary,N,202,,202
2019-2020,2,Albemarle County,540,Red Hill Elementary,Y,11,,11
2019-2020,2,Albemarle County,30,Scottsville Elementary,N,231,,231
2019-2020,2,Albemarle County,30,Scottsville Elementary,Y,<,,<
2019-2020,2,Albemarle County,920,Stone Robinson Elementary,N,484,,484
2019-2020,2,Albemarle County,920,Stone Robinson Elementary,Y,18,,18
2019-2020,2,Albemarle County,240,Stony Point Elementary,N,218,,218
2019-2020,2,Albemarle County,240,Stony Point Elementary,Y,18,,18
2019-2020,2,Albemarle County,910,Virginia L. Murray Elementary,N,250,,250
2019-2020,2,Albemarle County,910,Virginia L. Murray Elementary,Y,<,,<
2019-2020,2,Albemarle County,140,Western Albemarle High,N,"1,199",,"1,199"
2019-2020,2,Albemarle County,140,Western Albemarle High,Y,<,,<
