School Year,Division Number,Division Name,School Number,School Name,English Learners include Former ELs,FT Count,PT Count,Total Count
2024-2025,2,Albemarle County,160,Agnor Elementary,N,383,,383
2024-2025,2,Albemarle County,160,Agnor Elementary,Y,140,,140
2024-2025,2,Albemarle County,880,Albemarle High,N,"1,660",<,"1,664"
2024-2025,2,Albemarle County,880,Albemarle High,Y,311,,311
2024-2025,2,Albemarle County,1053,Baker-Butler Elementary,N,569,,569
2024-2025,2,Albemarle County,1053,Baker-Butler Elementary,Y,123,,123
2024-2025,2,Albemarle County,100,Broadus Wood Elementary,N,271,,271
2024-2025,2,Albemarle County,100,Broadus Wood Elementary,Y,11,,11
2024-2025,2,Albemarle County,941,Brownsville Elementary,N,511,,511
2024-2025,2,Albemarle County,941,Brownsville Elementary,Y,19,,19
2024-2025,2,Albemarle County,890,Community Lab School,N,177,,177
2024-2025,2,Albemarle County,340,Crozet Elementary,N,557,,557
2024-2025,2,Albemarle County,340,Crozet Elementary,Y,14,,14
2024-2025,2,Albemarle County,10,Hollymead Elementary,N,393,,393
2024-2025,2,Albemarle County,10,Hollymead Elementary,Y,59,,59
2024-2025,2,Albemarle County,250,Ivy Elementary,N,351,,351
2024-2025,2,Albemarle County,250,Ivy Elementary,Y,<,,<
2024-2025,2,Albemarle County,69,Jackson P. Burley Middle,N,425,,425
2024-2025,2,Albemarle County,69,Jackson P. Burley Middle,Y,110,,110
2024-2025,2,Albemarle County,942,Joseph T. Henley Middle,N,819,,819
2024-2025,2,Albemarle County,942,Joseph T. Henley Middle,Y,28,,28
2024-2025,2,Albemarle County,950,Journey Middle,N,438,<,439
2024-2025,2,Albemarle County,950,Journey Middle,Y,209,,209
2024-2025,2,Albemarle County,1051,Lakeside Middle,N,501,<,502
2024-2025,2,Albemarle County,1051,Lakeside Middle,Y,73,,73
2024-2025,2,Albemarle County,20,Leslie H. Walton Middle,N,317,,317
2024-2025,2,Albemarle County,20,Leslie H. Walton Middle,Y,22,,22
2024-2025,2,Albemarle County,40,Mary Carr Greer Elementary,N,324,,324
2024-2025,2,Albemarle County,40,Mary Carr Greer Elementary,Y,196,,196
2024-2025,2,Albemarle County,1052,Monticello High,N,"1,094",<,"1,096"
2024-2025,2,Albemarle County,1052,Monticello High,Y,95,,95
2024-2025,2,Albemarle County,150,Mountain View Elementary,N,630,,630
2024-2025,2,Albemarle County,150,Mountain View Elementary,Y,140,,140
2024-2025,2,Albemarle County,540,Red Hill Elementary,N,193,,193
2024-2025,2,Albemarle County,540,Red Hill Elementary,Y,17,,17
2024-2025,2,Albemarle County,30,Scottsville Elementary,N,211,,211
2024-2025,2,Albemarle County,30,Scottsville Elementary,Y,<,,<
2024-2025,2,Albemarle County,920,Stone Robinson Elementary,N,446,,446
2024-2025,2,Albemarle County,920,Stone Robinson Elementary,Y,30,,30
2024-2025,2,Albemarle County,240,Stony Point Elementary,N,202,,202
2024-2025,2,Albemarle County,240,Stony Point Elementary,Y,15,,15
2024-2025,2,Albemarle County,910,Virginia L. Murray Elementary,N,261,,261
2024-2025,2,Albemarle County,910,Virginia L. Murray Elementary,Y,12,,12
2024-2025,2,Albemarle County,140,Western Albemarle High,N,"1,244",<,"1,245"
2024-2025,2,Albemarle County,140,Western Albemarle High,Y,29,,29
2024-2025,2,Albemarle County,930,Woodbrook Elementary,N,343,,343
2024-2025,2,Albemarle County,930,Woodbrook Elementary,Y,179,,179
2024-2025,8,Augusta County,660,Buffalo Gap High,N,408,,408
2024-2025,8,Augusta County,660,Buffalo Gap High,Y,<,,<
2024-2025,8,Augusta County,650,Buffalo Gap Middle School,N,281,,281
2024-2025,8,Augusta County,650,Buffalo Gap Middle School,Y,<,,<
2024-2025,8,Augusta County,30,Cassell Elementary,N,619,,619
2024-2025,8,Augusta County,30,Cassell Elementary,Y,16,,16
2024-2025,8,Augusta County,140,Churchville Elementary,N,447,,447
2024-2025,8,Augusta County,140,Churchville Elementary,Y,<,,<
2024-2025,8,Augusta County,370,Craigsville Elementary,N,115,,115
2024-2025,8,Augusta County,370,Craigsville Elementary,Y,<,,<
2024-2025,8,Augusta County,842,Edward G. Clymore Elementary,N,712,,712
2024-2025,8,Augusta County,842,Edward G. Clymore Elementary,Y,91,,91
2024-2025,8,Augusta County,670,Fort Defiance High,N,689,,689
2024-2025,8,Augusta County,670,Fort Defiance High,Y,42,,42
2024-2025,8,Augusta County,843,Guy K. Stump Elementary,N,452,,452
2024-2025,8,Augusta County,843,Guy K. Stump Elementary,Y,<,,<
2024-2025,8,Augusta County,40,North River Elementary,N,205,,205
2024-2025,8,Augusta County,40,North River Elementary,Y,17,,17
2024-2025,8,Augusta County,740,Riverheads Elementary,N,709,,709
2024-2025,8,Augusta County,740,Riverheads Elementary,Y,<,,<
2024-2025,8,Augusta County,680,Riverheads High,N,466,,466
2024-2025,8,Augusta County,680,Riverheads High,Y,<,,<
2024-2025,8,Augusta County,70,Riverheads Middle School,N,362,,362
2024-2025,8,Augusta County,70,Riverheads Middle School,Y,<,,<
