"","year","division","school_number","school","count_aian","count_asian","count_black","count_latinx","count_multiracial","count_white","count_nhpi","perc_aian","perc_asian","perc_black","perc_latinx","perc_multiracial","perc_white","perc_nhpi","count_adv","count_disadv","perc_adv","perc_disadv","students","count_nonel","count_el","perc_nonel","perc_el"
"1","2024-2025","Albemarle County",160,"Agnor Elementary",1,54,108,153,42,165,0,0.2,10.3,20.7,29.3,8,31.5,0,326,197,62.3,37.7,523,383,140,19.4,7.1
"2","2024-2025","Albemarle County",880,"Albemarle High",5,170,309,427,150,914,0,0.3,8.6,15.6,21.6,7.6,46.3,0,1390,585,70.4,29.6,1975,1664,311,84.3,15.7
"3","2024-2025","Albemarle County",1053,"Baker-Butler Elementary",2,71,84,138,68,329,0,0.3,10.3,12.1,19.9,9.8,47.5,0,491,201,71,29,692,569,123,28.8,6.2
"4","2024-2025","Albemarle County",100,"Broadus Wood Elementary",0,5,7,22,23,225,0,0,1.8,2.5,7.8,8.2,79.8,0,233,49,82.6,17.4,282,271,11,13.7,0.6
"5","2024-2025","Albemarle County",941,"Brownsville Elementary",0,30,11,32,37,419,1,0,5.7,2.1,6,7,79.1,0.2,462,68,87.2,12.8,530,511,19,25.9,1
"6","2024-2025","Albemarle County",890,"Community Lab School",0,6,12,18,14,127,0,0,3.4,6.8,10.2,7.9,71.8,0,169,9,94.9,5.1,177,177,0,9,0
"7","2024-2025","Albemarle County",340,"Crozet Elementary",0,20,15,46,36,454,0,0,3.5,2.6,8.1,6.3,79.5,0,487,84,85.3,14.7,571,557,14,28.2,0.7
"8","2024-2025","Albemarle County",10,"Hollymead Elementary",1,101,55,39,44,212,0,0.2,22.3,12.2,8.6,9.7,46.9,0,355,97,78.5,21.5,452,393,59,19.9,3
"9","2024-2025","Albemarle County",250,"Ivy Elementary",0,10,2,29,13,304,0,0,2.8,0.6,8.1,3.6,84.9,0,327,31,91.3,8.7,360,351,9,17.8,0.5
"10","2024-2025","Albemarle County",69,"Jackson P. Burley Middle",0,29,106,132,56,212,0,0,5.4,19.8,24.7,10.5,39.6,0,336,199,62.8,37.2,535,425,110,21.5,5.6
