School Year,Division Number,Division Name,School Number,School Name,Disadvantaged,FT Count,PT Count,Total Count
2025-2026,2,Albemarle County,160,Agnor Elementary,N,299,,299
2025-2026,2,Albemarle County,160,Agnor Elementary,Y,208,,208
2025-2026,2,Albemarle County,880,Albemarle High,N,"1,330",<,"1,333"
2025-2026,2,Albemarle County,880,Albemarle High,Y,575,<,576
2025-2026,2,Albemarle County,1053,Baker-Butler Elementary,N,501,,501
2025-2026,2,Albemarle County,1053,Baker-Butler Elementary,Y,185,,185
2025-2026,2,Albemarle County,100,Broadus Wood Elementary,N,223,,223
2025-2026,2,Albemarle County,100,Broadus Wood Elementary,Y,42,,42
2025-2026,2,Albemarle County,941,Brownsville Elementary,N,429,,429
2025-2026,2,Albemarle County,941,Brownsville Elementary,Y,75,,75
2025-2026,2,Albemarle County,890,Community Lab School,N,173,,173
2025-2026,2,Albemarle County,890,Community Lab School,Y,<,,<
2025-2026,2,Albemarle County,340,Crozet Elementary,N,476,,476
2025-2026,2,Albemarle County,340,Crozet Elementary,Y,91,,91
2025-2026,2,Albemarle County,10,Hollymead Elementary,N,361,,361
2025-2026,2,Albemarle County,10,Hollymead Elementary,Y,107,,107
2025-2026,2,Albemarle County,250,Ivy Elementary,N,338,,338
2025-2026,2,Albemarle County,250,Ivy Elementary,Y,31,,31
2025-2026,2,Albemarle County,69,Jackson P. Burley Middle,N,333,,333
2025-2026,2,Albemarle County,69,Jackson P. Burley Middle,Y,176,,176
2025-2026,2,Albemarle County,942,Joseph T. Henley Middle,N,784,,784
2025-2026,2,Albemarle County,942,Joseph T. Henley Middle,Y,88,,88
2025-2026,2,Albemarle County,950,Journey Middle,N,351,,351
2025-2026,2,Albemarle County,950,Journey Middle,Y,292,,292
2025-2026,2,Albemarle County,1051,Lakeside Middle,N,477,<,479
2025-2026,2,Albemarle County,1051,Lakeside Middle,Y,122,,122
2025-2026,2,Albemarle County,20,Leslie H. Walton Middle,N,250,,250
2025-2026,2,Albemarle County,20,Leslie H. Walton Middle,Y,114,,114
2025-2026,2,Albemarle County,40,Mary Carr Greer Elementary,N,253,,253
2025-2026,2,Albemarle County,40,Mary Carr Greer Elementary,Y,247,,247
2025-2026,2,Albemarle County,1052,Monticello High,N,807,<,808
2025-2026,2,Albemarle County,1052,Monticello High,Y,341,,341
2025-2026,2,Albemarle County,150,Mountain View Elementary,N,516,,516
2025-2026,2,Albemarle County,150,Mountain View Elementary,Y,243,,243
2025-2026,2,Albemarle County,540,Red Hill Elementary,N,125,,125
2025-2026,2,Albemarle County,540,Red Hill Elementary,Y,70,,70
2025-2026,2,Albemarle County,30,Scottsville Elementary,N,117,,117
2025-2026,2,Albemarle County,30,Scottsville Elementary,Y,96,,96
2025-2026,2,Albemarle County,920,Stone Robinson Elementary,N,312,,312
2025-2026,2,Albemarle County,920,Stone Robinson Elementary,Y,129,,129
2025-2026,2,Albemarle County,240,Stony Point Elementary,N,197,,197
2025-2026,2,Albemarle County,240,Stony Point Elementary,Y,55,,55
2025-2026,2,Albemarle County,910,Virginia L. Murray Elementary,N,240,,240
2025-2026,2,Albemarle County,910,Virginia L. Murray Elementary,Y,17,,17
2025-2026,2,Albemarle County,140,Western Albemarle High,N,"1,168",<,"1,170"
2025-2026,2,Albemarle County,140,Western Albemarle High,Y,138,<,139
2025-2026,2,Albemarle County,930,Woodbrook Elementary,N,216,,216
2025-2026,2,Albemarle County,930,Woodbrook Elementary,Y,326,,326
2025-2026,8,Augusta County,660,Buffalo Gap High,N,273,,273
2025-2026,8,Augusta County,660,Buffalo Gap High,Y,102,,102
2025-2026,8,Augusta County,650,Buffalo Gap Middle,N,201,,201
2025-2026,8,Augusta County,650,Buffalo Gap Middle,Y,94,,94
2025-2026,8,Augusta County,30,Cassell Elementary,N,388,,388
2025-2026,8,Augusta County,30,Cassell Elementary,Y,235,,235
2025-2026,8,Augusta County,140,Churchville Elementary,N,270,,270
2025-2026,8,Augusta County,140,Churchville Elementary,Y,156,,156
2025-2026,8,Augusta County,370,Craigsville Elementary,N,42,,42
2025-2026,8,Augusta County,370,Craigsville Elementary,Y,69,,69
2025-2026,8,Augusta County,842,Edward G. Clymore Elementary,N,517,,517
2025-2026,8,Augusta County,842,Edward G. Clymore Elementary,Y,288,,288
2025-2026,8,Augusta County,670,Fort Defiance High,N,486,<,488
2025-2026,8,Augusta County,670,Fort Defiance High,Y,232,,232
2025-2026,8,Augusta County,843,Guy K. Stump Elementary,N,295,,295
